temperature,rate_R1_fwd,rate_R2_fwd
855.32870559412,0.002040382063388112,0.0017113536384816734
856.3291139240506,0.0020795101265984627,0.0017426162942506282
857.3295222539813,0.00211930324167312,0.0017743820563485618
858.3299305839118,0.0021597711926076117,0.0018066578733587741
859.3303389138424,0.0022009238843050767,0.0018394507722577487
860.330747243773,0.002242771345364812,0.0018727678599092551
861.3311555737035,0.0022853237257387496,0.0019066163242094673
862.3315639036341,0.0023285912961516176,0.0019410034312167966
863.3319722335648,0.0023725844583856923,0.0019759365333986995
864.3323805634953,0.0024173137352332614,0.00201142306138387
865.3327888934259,0.002462789776927427,0.0020474705318923644
866.3331972233565,0.002509023366448295,0.0020840865448226915
867.333605553287,0.0025560254110139247,0.0021212787833963945
868.3340138832176,0.0026038069518635066,0.002159055016260542
869.3344222131483,0.002652379162070499,0.002197423099748727
870.3348305430789,0.002701753347738137,0.002236390977184962
871.3352388730094,0.0027519409485595677,0.0022759666764421253
872.33564720294,0.0028029535415750326,0.0023161583163350376
873.3360555328705,0.002854802841232934,0.002356974102656029
874.3364638628011,0.0029075006979636863,0.0023984223331973086
875.3368721927318,0.0029610591054249143,0.002440511394146957
876.3372805226624,0.0030154901929807837,0.002483249763536295
877.3376888525929,0.003070806237934455,0.0025266460114552864
878.3380971825235,0.0031270196571581295,0.0025707088014094
879.338505512454,0.0031841430139491066,0.00261544688687096
880.3389138423846,0.0032421890179745914,0.002660869121022023
881.3393221723153,0.0033011705235288613,0.0027069844491749116
882.3397305022459,0.003361100538419434,0.0027538019086377438
883.3401388321764,0.003421992215373272,0.0028013306395928833
884.340547162107,0.0034838588634374377,0.0028495798778016166
885.3409554920376,0.0035467139390347605,0.002898558952521905
886.3413638219681,0.0036105710594266692,0.0029482772985596198
887.3417721518988,0.003675443991845867,0.00299874444646288
888.3421804818294,0.0037413466630618407,0.0030499700265136905
889.3425888117599,0.0038082931539037143,0.0031019637716257365
890.3429971416905,0.003876297711994667,0.0031547355167912774
891.343405471621,0.00394537474092753,0.0032082952021220295
892.3438138015516,0.00401553880867456,0.0032626528654860504
893.3442221314823,0.0040868046444085294,0.003317818653620815
894.3446304614129,0.004159187147422518,0.0033738028186111766
895.3450387913434,0.0042327013801134435,0.0034306157163076405
896.345447121274,0.004307362571085998,0.0034882678101914024
897.3458554512046,0.004383186125603635,0.0035467696730831105
898.3462637811351,0.004460187611045066,0.003606131983902763
899.3466721110658,0.004538382775519585,0.003666365532554345
900.3470804409964,0.0046177875339325535,0.003727481217420241
901.3474887709269,0.004698417985220556,0.003789490052223589
902.3478971008575,0.004780290395663353,0.003852403156460213
903.3483054307881,0.004863421217631342,0.0039162317675747035
904.3487137607186,0.004947827076778872,0.0039809872320472695
905.3491220906493,0.005033524787018529,0.0040466810162214685
906.3495304205799,0.005120531343089476,0.004113324697072663
907.3499387505104,0.005208863918237041,0.004180929968508809
908.350347080441,0.005298539881252818,0.0042495086452635665
909.3507554103716,0.005389576783779817,0.004319072655019448
910.3511637403021,0.005481992362706236,0.004389634044990746
911.3515720702328,0.005575804554361835,0.004461204987013921
912.3519804001634,0.005671031479667506,0.004533797766159696
913.3523887300939,0.005767691454428734,0.004607424793877175
914.3527970600245,0.00586580299919923,0.004682098606014605
915.3532053899551,0.005965384820823301,0.004757831853896612
916.3536137198856,0.006066455822977072,0.004834637318084161
917.3540220498163,0.00616903511911394,0.0049125279039716275
918.3544303797469,0.006273142020283809,0.004991516644988348
919.3548387096774,0.006378796040827472,0.005071616695398523
920.355247039608,0.0064860169014901116,0.005152841340312733
921.3556553695386,0.00659482452348009,0.005235203995631815
922.3560636994691,0.006705239046747122,0.005318718204172668
923.3564720293998,0.006817280811870982,0.005403397638879193
924.3568803593304,0.006930970380274945,0.005489256107544741
925.3572886892609,0.007046328518610465,0.005576307546215929
926.3576970191915,0.007163376213073294,0.005664566025059687
927.3581053491221,0.007282134657894912,0.00575404575203966
928.3585136790526,0.007402625287323389,0.005844761065965009
929.3589220089833,0.007524869731812273,0.00593672644536979
930.3593303389139,0.00764888985153837,0.006029956501314432
931.3597386688444,0.007774707742404213,0.006124465989373083
932.360146998775,0.007902345707475281,0.006220269795162209
933.3605553287056,0.008031826287104155,0.006317382955172673
934.3609636586361,0.008163172252017667,0.006415820637674111
935.3613719885668,0.0082964065993808,0.0065155981535636445
936.3617803184974,0.008431552554195261,0.006616730963554555
937.362188648428,0.008568633582659812,0.006719234664040983
938.3625969783585,0.008707673392495086,0.006823125006485978
939.3630053082891,0.008848695914561215,0.006928417870156606
940.3634136382196,0.00899172532228041,0.007035129307558486
941.3638219681503,0.009136786044329286,0.007143275490929452
942.3642302980809,0.009283902741630204,0.007252872761689857
943.3646386280114,0.009433100314841096,0.0073639376021630565
944.365046957942,0.0095844039258365,0.00747648664457012
945.3654552878726,0.009737838975761439,0.0075905366790281975
946.3658636178031,0.009893431110696002,0.007706104638869841
947.3662719477338,0.01005120623475515,0.007823207620940981
948.3666802776644,0.010211190526671646,0.007941862874411287
949.367088607595,0.010373410387723088,0.008062087801581021
950.3674969375255,0.010537892489950915,0.008183899960587725
951.3679052674561,0.010704663776591504,0.00830731707408203
952.3683135973868,0.01087375143447284,0.00843235701307864
953.3687219273173,0.011045182930444318,0.008559037817100167
954.3691302572479,0.011218985983236035,0.008687377689789555
955.3695385871785,0.011395188590794546,0.008817394985794032
956.369946917109,0.011573819008874697,0.008949108225543002
957.3703552470396,0.011754905782137894,0.009082536100726634
958.3707635769703,0.011938477708548204,0.009217697465139816
959.3711719069008,0.012124563865120772,0.009354611328949124
960.3715802368314,0.012313193630248666,0.009493296894367675
961.371988566762,0.012504396626399641,0.009633773500236004
962.3723968966925,0.012698202781385034,0.009776060673041136
963.3728052266231,0.012894642293206776,0.009920178110874594
964.3732135565538,0.013093745658442839,0.010066145682220924
965.3736218864843,0.013295543641221836,0.01021398341978837
966.3740302164149,0.01350006732711389,0.010363711535427334
967.3744385463455,0.013707348054228267,0.010515350419159939
968.374846876276,0.013917417473765853,0.010668920630560883
969.3752552062066,0.014130307543726598,0.01082444291448335
970.3756635361373,0.014346050495060814,0.010981938184849023
971.3760718660678,0.014564678877583798,0.011141427535438559
972.3764801959984,0.01478622553253795,0.01130293225156116
973.376888525929,0.015010723604338388,0.011466473785265927
974.3772968558595,0.015238206555020407,0.011632073782438981
975.3777051857901,0.015468708138400617,0.011799754065499402
976.3781135157208,0.015702262431993755,0.01196953663955021
977.3785218456513,0.015938903810463676,0.012141443704645809
978.3789301755819,0.016178666984247008,0.012315497648956748
979.3793385055125,0.016421586959327095,0.012491721032497433
980.379746835443,0.01666769906297877,0.012670136613612713
981.3801551653736,0.016917038957934585,0.012850767353757146
982.3805634953043,0.017169642617648865,0.013033636386141287
983.3809718252348,0.017425546337652996,0.013218767046201244
984.3813801551654,0.01768478674984452,0.013406182864057217
985.381788485096,0.017947400810713277,0.013595907556204727
986.3821968150265,0.01821342581374427,0.013787965042087123
987.3826051449571,0.018482899366174796,0.013982379445727685
988.3830134748878,0.018755859437723545,0.014179175070971252
989.3834218048183,0.019032344327106206,0.014378376441474721
990.3838301347489,0.019312392659033235,0.014580008265953416
991.3842384646795,0.0195960434241343,0.014784095462305384
992.38464679461,0.01988333593661453,0.01499066314881366
993.3850551245406,0.020174309872468616,0.015199736652187887
994.3854634544713,0.020469005241829125,0.015411341498250901
995.3858717844018,0.020767462431182538,0.01562550341629245
996.3862801143324,0.02106972214857108,0.015842248365842634
997.386688444263,0.021375825485674217,0.01606160247957294
998.3870967741935,0.02168581388676012,0.01628359214157264
