temperature,rate_R1_fwd,rate_R1_rev,rate_R2_fwd,rate_R2_rev,rate_R3_fwd,rate_R3_rev,rate_R4_fwd,rate_R4_rev,rate_R5_fwd,rate_R5_rev,rate_R6_fwd,rate_R6_rev,rate_R7_fwd,rate_R7_rev,rate_R8_fwd,rate_R8_rev
1282.5030624744793,15.299552871918282,53387359552389.22,6.926041749844991,2011682759422402.2,3.1503285803357963,47027016709718.766,0.8530991577923422,388497215887442.6,2178306378113.3013,0.9506791622740236,5648791116704.599,0.002862513236941332,949816760078.3242,0.8407530406786178,2756764927021.0933,0.007730777837505898
1283.50347080441,15.360165802703735,53396760980105.71,6.966721464338083,2006434258093387.0,3.165616536642533,47028390514490.96,0.8591081438845025,387540707517571.4,2184298155475.0554,0.9610220084628589,5658170333806.88,0.00290444960916979,951537719022.5088,0.8492545088079848,2761650585372.4106,0.007846153332862427
1284.5038791343407,15.420952084831761,53406152354318.484,7.007589069672803,2001207755378621.2,3.180960524197586,47029765748357.65,0.865151592820344,386588067702052.06,2190296975388.7612,0.9714623412494512,5667550318198.896,0.0029469375928531205,953259096417.4082,0.8578296961607473,2766537212429.6797,0.00796307806227702
1285.504287464271,15.481912007698856,53415533674585.51,7.0486451808401975,1996003131334575.0,3.1963606763347476,47031142403916.59,0.8712296541274355,385639275928723.3,2196302827251.8022,0.9820009294749316,5676931057378.555,0.0029899835798785895,954980889584.0934,0.8664791290822526,2771424800906.082,0.008081570406477027
1286.5046957942018,15.54304586607895,53424904963679.27,7.089890413394358,1990820266458439.0,3.211817127819803,47032520469554.55,0.8773424775963413,384694311828624.7,2202315700900.5747,0.9926385467514511,5686312538648.623,0.003033594026996922,956703095867.3817,0.8752033370823232,2776313343664.892,0.008201648935554152
1287.5051041241322,15.604353951597687,53434266234949.46,7.131325384266057,1985659042091330.5,3.2273300126274496,47033899932184.53,0.8834902134296764,383753155096726.75,2208335586102.2812,1.0033759713358879,5695694748285.4795,0.0030777754535726365,958425712468.553,0.8840028522420758,2781202833153.794,0.008323332406548279
1288.505512454063,15.665836556769877,53443617501647.54,7.172950711143921,1980519340354094.8,3.2428994647678775,47035280784090.7,0.8896730122421844,382815785580937.75,2214362472425.0176,1.014213986525414,5705077674352.591,0.0031225344446348647,960148736863.0873,0.8928782098572319,2786093261968.433,0.008446639770267435
1289.5059207839936,15.727493976386818,53452958784705.34,7.214767013513573,1975401044199032.8,3.2585256190428087,47036663014715.56,0.8958910251390226,381882183303117.1,2220396349945.8135,1.025153380301935,5714461303887.159,0.003167877649546895,961872166355.0927,0.9018299477290036,2790984622853.338,0.008571590165368802
1290.506329113924,15.789326502043227,53462290097182.6,7.256774910354107,1970304036944699.2,3.274208610012876,47038046612028.984,0.9021444034822488,380952328324556.94,2226437208155.941,1.0361949454644892,5723845623390.675,0.003213811783413209,963595998215.8527,0.9108586068957671,2795876908214.622,0.008698202928227735
1291.5067374438547,15.85133442668389,53471611448929.0,7.298975023701748,1965228203648111.5,3.289948572562676,47039431568004.33,0.9084332992026718,380026200934162.44,2232485036537.597,1.0473394798606515,5733230621159.791,0.0032603436277147484,965320229880.0647,0.9199647313645154,2800770111176.304,0.008826497591234047
1292.5071457737852,15.913518045090065,53480922863703.24,7.341367975715146,1960173429146936.2,3.305745640750498,47040817864928.76,0.9147578646722666,379103781513922.4,2238539825280.3853,1.0585877862619257,5742616284291.938,0.003307480030570948,967044858722.0145,0.9291488679332438,2805664224279.726,0.00895649388209482
1293.5075541037158,15.975877650657262,53490224354277.09,7.38395438907577,1955139599545893.0,3.3215999504917213,47042205501415.12,0.921118252597925,378185050549411.44,2244601563722.9985,1.069940672073795,5752002600013.973,0.0033552279061994043,968769881970.3188,0.9384115662205402,2810559240132.449,0.009088211727437493
1294.5079624336463,16.0384135348975,53499515933325.445,7.426734888483526,1950126601466791.5,3.337511636394553,47043594462283.36,0.9275146160187205,377269988640136.3,2250670241913.6523,1.0813989500014582,5761389555514.806,0.0034035942379508455,970495297073.6812,0.9477533790827621,2815455151490.401,0.009221671255798182
1295.508370763577,16.10112599208507,53508797614983.85,7.469710098508923,1945134322329035.2,3.353480833579354,47044984743204.33,0.9339471084118455,376358576531634.1,2256745849043.3037,1.0929634373261339,5770777138448.232,0.003452586076441951,972221101448.0709,0.9571748622199979,2820351951094.63,0.009356892797470219
1296.5087790935077,16.164015316955123,53518069419522.81,7.512880646617866,1940162650569316.8,3.3695076773932953,47046376324686.19,0.9404158839398509,375450795136171.94,2262828375146.25,1.1046349567404425,5780165336263.066,0.0035022105416577416,973947292419.6046,0.9666765742920254,2825249631917.474,0.009493896886409538
1297.509187423438,16.227081802819985,53527331357774.92,7.556247159924401,1935211475069403.0,3.3855923039049656,47047769204935.05,0.9469210969640273,374546625422333.9,2268917809790.7676,1.1164143357420768,5789554136537.739,0.0035524748228167326,975673867393.9946,0.9762590770407925,2830148186587.611,0.009632704263013908
1298.5095957533688,16.290325743434188,53536583448266.31,7.5998102666960925,1930280685379126.0,3.401734847343978,47049163362886.46,0.9534629021478567,373646048501935.4,2275014142801.0493,1.1283024067747087,5798943526811.836,0.0036033861782834927,977400823686.4509,0.9859229350752773,2835047607964.279,0.00977333587359634
1299.5100040832992,16.353747432523715,53545825700081.35,7.643570597244902,1925370172048004.2,3.4179354446293613,47050558804760.88,0.960041454732566,372749045639741.8,2281117363596.667,1.140300007376979,5808333494923.136,0.0036549519381956696,979128158891.2035,0.9956687161354576,2839947888890.9375,0.009915812873712206
1300.51041241323,16.417347164737617,53555058136234.56,7.687528781268987,1920479826001594.2,3.434194230832812,47051955506553.44,0.9666569103740228,371855598143996.0,2287227462052.4194,1.1524079802392175,5817724027993.381,0.003707179502311417,980855870198.7216,1.0054969909033247,2844849022194.7603,0.010060156631350866
1301.5108207431606,16.481125232784553,53564280768740.24,7.731685450502841,1915609539098067.8,3.4505113427462186,47053353464698.89,0.9733094252560185,370965687528423.7,2293344427770.161,1.1646271731267988,5827115113778.488,0.00376007634320458,982583955106.9403,1.0154083332156518,2849751000686.1216,0.010206388725513202
1302.511229073091,16.545081934132917,53573493611076.734,7.77604123942288,1910759204120202.0,3.4668869153877337,47054752668685.4,0.979999155609254,370079295359561.8,2299468250409.6543,1.1769584387971632,5836506740333.231,0.0038136500041434564,984312410994.1411,1.025403319602473,2854653817407.321,0.010354530948437335
1303.5116374030217,16.60921755901515,53582696676628.6,7.820596780058854,1905928714157283.2,3.4833210855042656,47056153107901.414,0.986726258502701,369196403385636.44,2305598919622.156,1.1894026353603189,5845898895332.355,0.00386790810259304,986041235347.3502,1.0354825302440955,2859557465301.3213,0.010504605311551472
1304.5120457329522,16.67353240532676,53591889986485.44,7.865352707842805,1901117962992261.5,3.499813989368374,47057554773005.51,0.9934908911642619,368316993395607.44,2311736424915.647,1.2019606257865592,5855291566237.204,0.003922858328381194,987770425590.678,1.0456465479150592,2864461936960.4087,0.010656634040020381
1305.5124540628829,16.738026765619086,53601073547608.9,7.910309659142603,1896326845262268.2,3.5163657632751457,47058957651818.11,1.000293211437657,367441047347568.7,2317880756125.047,1.214633278512536,5864684740634.655,0.003978508445247878,989499979113.4377,1.055895958616046,2869367225624.9424,0.010810639582397644
1306.5128623928133,16.8027009362834,53610247382465.7,7.955468271024908,1891555256506572.8,3.5329765439505914,47060361740278.336,1.0071333772616642,366568547281941.7,2324031902875.3604,1.2274214669774652,5874078407263.161,0.004034866291544163,991229893385.108,1.0662313513431723,2874273324184.709,0.01096664460406907
1307.513270722744,16.86755521074928,53619411499391.39,8.00082918147591,1886803092609735.8,3.54964646762865,47061767023270.24,1.0140115473673434,365699475374263.3,2330189854646.5986,1.2403260699584833,5883472553452.804,0.004091939780468274,992960165840.3148,1.0766533183442613,2879180225426.944,0.01112467199745634
1308.5136790526747,16.93258988385897,53628565917551.09,8.046393029395569,1882070250074721.0,3.5663756713854573,47063173488318.41,1.020927880696674,364833813923508.06,2336354601247.739,1.2533479714155056,5892867166656.806,0.004149736900999728,994690793878.3984,1.0871624548517793,2884087922790.527,0.011284744878193843
1309.514087382605,16.997805252386136,53637710652899.52,8.092160455533904,1877356626401171.8,3.583164292425881,47064581135177.13,1.0278825367843185,363971545329979.5,2342526132207.3936,1.2664880605828135,5902262235310.738,0.004208265718009598,996421775094.9807,1.097759359310486,2888996408857.7227,0.011446886587813926
1310.5144957125358,17.06320160811722,53646845713494.65,8.138132100380183,1872662119476940.8,3.60001246745443,47065989949806.25,1.0348756752214474,363112652041805.06,2348704437180.135,1.2797472318789695,5911657747635.288,0.004267534373326765,998153106760.6466,1.1084446330695639,2893905676609.874,0.011611120696861934
1311.5149040424662,17.128779249217633,53655971119791.836,8.18430860745829,1867986628066006.8,3.61692033329161,47067399922177.305,1.041907456431783,362257116755215.44,2354889505742.4473,1.2931263851860915,5921053691289.157,0.004327551086092863,999884786545.5028,1.1192188809029473,2898815719514.8076,0.01177747100710754
1312.515312372397,17.194538469842495,53665086885912.46,8.230690619069545,1863330051367155.8,3.633888027930947,47068811043534.71,1.0489780409835958,361404922117636.6,2361081327529.027,1.306626425651145,5930450054226.891,0.004388324153355217,1001616811793.7542,1.1300827106388138,2903726530347.467,0.011945961552407043
1313.5157207023276,17.260479564576933,53674193022763.1,8.27727878032128,1858692289444740.0,3.6509156878005298,47070223300916.54,1.0560875900413478,360556051022596.8,2367279892164.5493,1.3202482637037345,5939846825046.27,0.004449861950662928,1003349180017.1704,1.141036733098543,2908638102284.1514,0.012116616598078833
1314.516129032258,17.326602830458228,53683289550532.05,8.32407373675236,1854073242789611.0,3.668003451352395,47071636692223.734,1.0632362651241736,359710486377034.94,2373485189194.3467,1.333992815229115,5949243991088.102,0.004512172932797374,1005081888808.6617,1.1520815625681702,2913550428311.9897,0.012289460648304397
1315.5165373621887,17.392908562463724,53692376481508.43,8.371076134800818,1849472812640133.2,3.6851514556746756,47073051204301.984,1.0704242281971026,358868211258315.06,2379697208568.075,1.347861001554664,5958641541026.863,0.004575265634117433,1006814935491.2285,1.1632178160442523,2918463501736.6167,0.012464518443139136
1316.5169456921192,17.459397054992234,53701453826327.4,8.418286621797677,1844890900922539.8,3.7023598386111796,47074466828010.86,1.0776516415151047,358029208777275.0,2385915939256.103,1.3618537491169573,5968039462969.929,0.004639148669830946,1008548317643.8531,1.1744461142807499,2923377315333.6826,0.012641814963571096
1317.5173540220499,17.526068605420303,53710521608037.695,8.465705846946243,1840327410245710.0,3.719628738234542,47075883551374.28,1.0849186679975802,357193462244662.94,2392141371394.8267,1.3759719903081191,5977437745322.225,0.0047038307362302825,1010282032750.7529,1.1857670809295258,2928291862537.181,0.012821375432016485
1318.5177623519803,17.592923509035636,53719579832406.875,8.513334460352352,1835782243575407.8,3.736958292195611,47077301369171.21,1.092225470791586,356360954982612.25,2398373494417.163,1.390216662512791,5986836375568.188,0.004769320609787663,1012016078406.6124,1.1971813428840234,2933207136590.9565,0.013003225314594725
